Ctry_Abb,Ctry_NmS,Area_SQKM,UN,ColorMap,Shape_Length,Shape_Area,administeredBy,contestedBy1,contestedBy2,contestedBy3,contestedBy4,contestedBy5,demonym,contestedRegion1,territoryTyp,recognized,inhabited,casulitiesContested,viablyContested,nameContested,contestedRegion2,autonomous,contestedRegion3
CMA,Crimea,44773,0,7,1473491.87,90247913724,Russia,Ukraine,Republic of Crimea,Russia,Crimean Tatars,None,Crimean,Russia,5,4,1,1,1,Multiple,None,1,Russian Autonomous Republics
CSP,Caspian Sea,297067,0,3,5010695.373,5.31163E+11,None,Azerbaijan,Russia,Iran,Turkmenistan,Kazakhstan,None,None,7,4,0,0,1,UNCLOS,None,0,None
NVR,Narva Reservior,80,0,2,103751.7989,306815393.4,None,Russia,Estonia,None,None,None,None,None,7,4,0,0,1,Unratified 2014 Border Treaty,None,0,None
ABK,Abkhazia,12481,0,5,746223.477,23383147202,Georgia,Abkhazia,Russia,None,None,None,Abkhazian,Russia,5,4,1,1,1,UNPO Member,None,1,None
TNT,Transnistria,3641,0,3,1126074.27,7925572693,Moldova,Pridnestrovian Moldavian Republic,Russia,None,None,None,Transnitrian,Russia,5,4,1,1,1,Army of Transnistria,None,1,None
SOS,South Ossetia,3832,0,5,506591.7405,7021475836,Georgia,South Ossetia,Russia,None,None,None,South Ossetian,Russia,5,4,1,1,1,1991 War for Independence,None,1,None
KAD,Baikonur Cosmodrome,2835,0,8,398684.3716,5863463692,Kazakhstan,Russia,None,None,None,None,None,None,6,4,0,0,1,Alleged breach of lease terms,None,0,None
GIB,Gibralter,92,0,7,45562.23369,140939724.1,United Kingdom,Spain,None,None,None,None,Gibraltarian,None,2,4,1,0,1,1704 War of Spainish Succession,None,1,None
IOT,Chagos Archipelago,13787,0,2,881750.6273,14060111735,United Kingdom,Mauritius,None,None,None,None,Chagossian,British Indian Ocean Territory,1,1,1,0,0,2019 ICJ Ruling,None,0,None
LLM,Latvia-Lithuania Maritime Border,470,0,8,153581.7524,1504127897,None,Latvia,Lithuania,None,None,None,None,None,7,4,0,0,1,Unratified 1998 Maritime Treaty,None,0,None
MYT,Mayotte,6215,0,8,295961.3533,6577037383,France,Comoros,Mayotte,None,None,None,Mahoran,France,2,4,1,0,1,Multiple,None,1,None
ATF,Juan De Nova Island,1810,0,8,160450.3493,1991962720,France,Madagascar,None,None,None,None,None,The French Southern Territories,7,4,0,0,1,1972 Madagascar Independence,None,0,None
ATF,Glorioso Islands,2138,0,8,171904.4852,2240675466,France,Madagascar,None,None,None,None,None,The French Southern Territories,7,4,0,0,1,France–Seychelles Maritime Boundary Agreement,None,0,None
ATF,Tromelin Island,1568,0,8,149438.2382,1705309069,France,Mauritius,Seychelles,None,None,None,None,The French Southern Territories,7,4,0,0,1,1814 Treaty of Paris,None,0,None
ATF,Europa Island,2102,0,8,180008.1922,2469539613,France,Madagascar,None,None,None,None,None,The French Southern Territories,7,4,0,0,1,UNCLOS,None,0,None
ATF,Bassas da India,2363,0,8,189242.9438,2742576548,France,Madagascar,None,None,None,None,None,The French Southern Territories,7,4,0,0,1,UNCLOS,None,0,None
MHI,Matthew and Hunter Islands,4859,0,6,472418.4555,5691585455,France,New Caledonia,Vanuatu,None,None,None,None,None,1,1,1,0,0,None,None,0,None
OLV,Olivenzia,401,0,7,126706.3555,659209303.2,Spain,Portugal,None,None,None,None,Guadianero,None,6,4,1,0,1,1815 Congress of Vienna,None,0,None
ICF,Islas Chafarinas,1,0,5,9589.890439,774975.4588,Spain,Morocco,None,None,None,None,None,None,7,4,1,0,1,ICJ,None,0,None
MLA,Melilla,14,0,5,28470.99799,20860806.9,Spain,Morocco,None,None,None,None,Melillan,None,2,4,1,0,1,ICJ,None,1,None
SPA,Penon De Alhucemas,0,0,5,2243.441966,67416.41265,Spain,Morocco,None,None,None,None,None,None,7,4,0,0,1,ICJ,None,0,None
SPB,Penon De Velez De Gomera,0,0,5,1665.647837,63365.51377,Spain,Morocco,None,None,None,None,None,None,7,4,0,0,1,ICJ,None,0,None
MAP,Isla De Perejil,0,0,5,2588.276237,222139.7275,Spain,Morocco,None,None,None,None,None,None,7,4,0,0,1,ICJ,None,0,None
CTA,Ceuta,21,0,5,35979.03108,31739828.46,Spain,Morocco,None,None,None,None,Ceutan,None,2,4,1,0,1,ICJ,None,1,None
GOP,Gulf of Prin,210,0,8,152130.6299,427377363.8,None,Slovenia,Croatia,None,None,None,None,None,7,4,0,0,1,Croatian EU Schengen Requirements,None,0,None
DRR,Drina River,586,0,8,456580.061,1142657866,Bosnia and Herzegovina,Serbia,None,None,None,None,None,None,7,4,0,0,1,UNCLOS,None,0,None
NKB,Nagorno-Karabakh,13923,0,4,850319.7471,23611987198,Azerbaijan,Nagorno-Karabakh,None,None,None,None,Karabakh,Azerbaijan,4,4,1,1,1,Ongoing War,None,1,None
SHT,Shatt al-Arab River,894,0,5,161036.4976,1191449705,None,Iraq,Iran,None,None,None,None,None,7,4,0,0,1,1937 Border Treaty,None,0,None
GOH,Golan Heights,1160,0,6,223417.5809,1653776120,Israel,Syria,Palestine,None,None,None,Israeli,None,6,4,1,1,1,Ongoing Conflict,None,1,None
GBZ,Golan Buffer Zone,618,0,6,229408.3475,883290351.9,Israel,Syria,Palestine,None,None,None,Israeli,None,6,4,1,1,1,Ongoing Conflict,None,1,None
SYK,Syrian Kurdistan,53169,0,8,1668149.91,81673961790,Syria,Syrian Kurdistan,Islamic State of Iraq and the Levant,None,None,None,Kurdish,Kurdistan,4,4,1,1,1,Ongoing War,None,1,ISIL Insurgency
IRK,Iraqi Kurdistan,48766,0,1,2167728.136,74677895354,Iraq,Iraqi Kurdistan,Democratic Republic of Assyria,Islamic State of Iraq and the Levant,None,None,Kurdish,Kurdistan,2,3,1,1,1,Ongoing Military Conflict,None,1,ISIL Insurgency
INK,Iranian Kurdistan,55138,0,6,2639208.147,85436575659,Iran,Iranian Kurdistan,None,None,None,None,Kurdish,Kurdistan,4,4,1,1,1,Ongoing Conflict,None,0,None
GZS,Gaza Strip,358,0,6,131779.6054,492310062.4,Palestine,Islamic State,Other Jiahadists,None,None,None,Palestinian,None,6,3,1,1,1,Ongoing Conflict,None,0,None
WBK,West Bank,5999,0,6,461897.8247,8355176336,Palestine,Israel,None,None,None,None,Palestinian,None,1,3,1,1,1,Ongoing Conflict,None,0,None
SAT,Tiran and Sanafir Islands,128,0,3,86989.89752,164672441.2,Saudi Arabia,None,None,None,None,None,Saudi Arabian,None,7,4,1,0,0,Resolved by Egypt,None,0,None
EHT,Hala'ib Triangle,23845,0,1,874316.9248,28041619644,Egypt,Sudan,None,None,None,None,Halaib,None,6,4,1,0,1,1902 Border Treaty,None,0,None
SDT,Bir Tawil,1957,0,2,229734.1338,2283174001,None,None,None,None,None,None,None,None,3,4,0,0,0,1902 Border Treaty,None,1,None
CNY,Canary Islands,45957,0,7,2304740.121,59786354179,Spain,Republic of the Canaary Islands,None,None,None,None,Canarians,None,4,4,1,0,1,Political Parties,None,0,None
MWS,Moroccan Western Sahara,210432,0,5,2946402.096,2.56831E+11,Morocco,Western Sahara,None,None,None,None,Western Saharan,Berberism,6,4,1,1,1,Ongoing Conflict,None,1,None
ESH,Western Sahara,81994,0,5,3007838.65,99047673421,Western Sahara,Morocco,None,None,None,None,Western Saharan,Berberism,6,3,1,1,1,Ongoing Conflict,None,0,None
ABY,Abyei,10487,0,2,412977.3099,10868040728,Abyei,South Sudan,Sudan,None,None,None,Sudanese,None,8,2,1,1,1,2005 Comprehensive Peace Agreement,None,1,None
KNT,Ilemi Triangel,3375,0,1,339591.9069,3421539093,Kenya,South Sudan,None,None,None,None,Kenyan,None,6,4,1,0,1,1914 Uganda-Sudan Boundary Comission,None,0,None
SCB,South Soudan- CAR Border,28963,0,7,1492080.617,29643955702,None,South Sudan,Central African Republic,Continued Ethnic Violence,None,None,None,None,6,4,1,1,1,Ongoing Conflict,None,1,None
GNY,Yenga,50,0,6,34725.7786,51889881,Sierra Leone,Guinea,None,None,None,None,Kissi,None,6,4,1,0,0,Suposedly resolved in SL's favor in 2013,None,0,None
BNN,Benin-Niger-Nigeria Tripoint,258,0,1,66535.92501,270369138.1,Nigeria,Benin,Niger,None,None,None,Nigerian,None,6,4,1,0,1,2005 Border de-marcation,None,0,None
DMR,Doumeira Island,5,0,4,8944.271515,4968074.915,Djibouti,Eritrea,None,None,None,None,None,None,7,4,0,0,1,1935 Franco-Italian Agreement,None,0,None
BDM,Badme,739,0,4,105672.1945,794603145.8,Eritrea,Ethiopia,Tigray,None,None,None,Eritrean,None,6,4,1,0,0,None,None,0,None
SML,Somaliland,187255,0,7,2034869.543,1.94141E+11,Somaliland,Somalia,Puntland,None,None,None,Somali,Somali Peoples,6,3,1,1,1,1991 Somail Civil War,None,0,None
RUW,Rukwanzi Island,2,0,4,5076.056262,1539977.558,Congo (DRC),Uganda,None,None,None,None,Congolese,None,6,4,1,0,1,UNCLOS,None,0,None
MBN,Mbane Island,682,0,4,128714.3259,686290713.7,Gabon,Equatorial Guinea,None,None,None,None,None,None,7,4,0,0,1,1970 Gabon Occupation,None,0,None
NTM,Ntem River Island,194,0,2,92964.94797,195995336.9,Equatorial Guinea,Cameroon,None,None,None,None,None,None,7,4,0,0,1,2002 ICJ Ruling,None,0,None
SAB,Sabanerwa,3,0,3,6854.632442,3202415.988,Burundi,Rwanda,None,None,None,None,None,None,6,4,1,0,1,1962 Borders,None,0,None
LMW,Lake Malawi,9825,0,2,589215.6346,10236452241,Malawi,Tanzania,None,None,None,None,None,None,7,4,0,0,1,Post-independence Borders,None,0,None
CNV,4 Way Convergence Point,33,0,2,25945.14613,36407850.42,Botswana,Zimbabwe,Zambia,Namibia,None,None,None,None,6,4,0,0,1,De facto Botswana,None,0,None
ORN,Orange River,5197,0,1,1103110.357,6764774865,Namibia,Angola,None,None,None,None,None,None,7,4,0,0,1,Namibia claims all of the river.,None,0,None
ZAK,KaNgwane,2757,0,7,390795.1503,3420211288,South Africa,Swaziland,None,None,None,None,South African,None,6,4,1,0,1,Unrealized 1982 transfer,None,0,None
UZF,Fergana Valley,17807,0,5,1000218.802,31063500541,Uzbekistan,Kyrgyzstan,Tajikistan,None,None,None,Uzbekistani,None,6,4,1,0,1,Multiple,None,0,None
ARP,Arunachal Pradesh,82296,0,5,2354538.762,1.06034E+11,India,China (PRC),Xizang (Greater Tibet),China (ROC),None,None,Arunachalis,India,8,4,1,1,1,1914 Simla Accord,None,1,China
KLA,Kalapani Territory,85,0,1,43053.38152,114483386.7,India,Nepal,None,None,None,None,Kalapani,None,6,4,1,0,1,Ongoing Negotiations,None,0,None
CHS,Chumbi Salient,142,0,1,57932.32416,181878771.5,Bhutan,China (PRC),Xizang (Greater Tibet),China (ROC),None,None,Bhutanese,None,6,4,1,0,1,Multiple,None,1,China
NWB,North-West Bhutan,1219,0,1,243437.9892,1575648793,China (PRC),Bhutan,Xizang (Greater Tibet),China (ROC),None,None,Bhutanese,None,6,4,1,0,1,ICJ,None,1,China
NAF,Naf River,82,0,1,97026.80123,94831299.41,Bangladesh,Myanmar,None,None,None,None,None,None,7,4,0,0,1,UNCLOS,None,0,None
HPT,Hill of Phnom Trap,161,0,1,54199.9179,172457088.6,Thailand,Cambodia,None,None,None,None,None,None,6,4,0,0,1,2013 ICJ Ruling,None,0,None
TIM,Timor Gap,44879,0,5,931840.826,46793529870,East Timor,Australia,None,None,None,None,None,None,7,4,0,0,1,UNCLOS,None,0,None
GUM,Guam,728940,0,5,5393376.389,7.69104E+11,United States,None,None,None,None,None,Guamanian,None,3,4,1,0,0,UNPO Member,None,0,None
MNP,Northern Mariana Islands,2057989,0,5,6692843.588,2.2892E+12,United States,None,None,None,None,None,Northern Mariana Islanders,None,3,4,1,0,0,None,None,1,None
USH,Hawaii,2064420,0,5,7493567.601,2.48554E+12,United States,Republic of Hawaii,None,None,None,None,Hawaiian,None,4,4,1,0,1,Nation of Hawai'i,None,0,None
VIR,US Virgin Islands,1052,0,5,164336.0193,1173497320,United States,None,None,None,None,None,American Virgin Islander,None,3,4,1,0,0,None,None,1,None
PRI,Puerto Rico,32009,0,5,1331657.474,35645311840,United States,Puerto Rico,None,None,None,None,Puerto Rican,None,3,4,1,0,1,Popular Referendium,None,1,None
ASM,American Samoa,262680,0,5,2387252.738,2.78104E+11,United States,None,None,None,None,None,American Samoan,None,3,4,1,0,0,None,None,1,None
CAS,Canadian Cascadia,1024334,0,4,11152058.35,3.07157E+12,Canada,Cascadia,None,None,None,None,Cascadian,Cascadia,4,4,1,0,1,Cascadia Department of Bioregion,None,0,None
USC,American Cascadia,454131,0,5,4185595.44,9.24813E+11,United States,Cascadia,None,None,None,None,American Cascadian,Cascadia,4,4,1,0,1,Cascadia Department of Bioregion,None,0,None
ABT,Alberta,660153,0,4,6063211.763,2.0356E+12,Canada,Alberta,None,None,None,None,Albertan,None,4,4,1,0,1,Independence Party of Alberta,None,0,None
QUB,Qubec,1770588,0,4,13153478.87,5.13152E+12,Canada,Qubec,None,None,None,None,Quebecer,None,4,4,1,0,1,Parti Québécois,None,0,None
GLP,Guadeloupe,11017,0,6,422907.5624,12013678747,France,Republic of Guadeloupe,None,None,None,None,Guadeloupean,None,3,4,1,0,1,United Guadeloupe,None,1,None
MTQ,Martinique,6447,0,6,310025.394,6927987442,France,Republic of Martinique,None,None,None,None,Martinican,France,2,4,1,0,1,Martinican Independence Movement,None,1,None
MXY,Yucatan,47007,0,3,951639.1939,54107280796,Mexico,Republic of Yucatan,None,None,None,None,Yucateco,None,4,4,1,0,1,Allicance for Yucatan Party,None,0,None
CIP,Chiapas,78589,0,3,1429006.086,85892036416,Mexico,Zapatas Cartel,None,None,None,None,Chiapaneco,None,4,4,1,1,1,Ongoing Military Conflict,None,1,None
NIM,Mosquito,68011,0,5,1633855.269,72217937108,Nicaragua,Communitarian Nation of Moskitia,None,None,None,None,Nicaraguan,None,4,4,1,1,1,Militant Organization,None,1,None
NVS,Nevis,1499,0,5,161356.8127,1650434396,Saint Kitts and Nevis,Dominion of Nevis,None,None,None,None,Nevisian,None,2,4,1,0,1,Concerned Citizens' Movement,None,1,None
USL,Lakotah,230821,0,5,3550354.465,4.45231E+11,United States,Republic of Lakotah,None,None,None,None,American,None,4,4,1,0,1,Lakota Freedom Movement,None,0,None
USF,California,460369,0,5,5006692.899,7.29132E+11,United States,Second California Republic,None,None,None,None,Californian,None,4,4,1,0,1,California National Party,None,0,None
USK,Northwest Territorial Imperative,798577,0,5,6503989.325,1.62023E+12,United States,Northwest American Republic,None,None,None,None,Chud,None,4,4,1,0,1,White supremacists groups,None,0,None
UST,Texas,708543,0,5,5317294.623,9.77308E+11,United States,Republic of Texas,None,None,None,None,Texan,None,4,4,1,0,1,Texas Nationalist Movement,None,0,None
USO,Vermont,25171,0,5,1052871.751,48807220753,United States,Vermont Republic,None,None,None,None,Vermonter,None,4,4,1,0,1,Vermont Independence Party,None,0,None
ALK,Alaska,1953989,0,5,32512491.84,9.97282E+12,United States,Republic of Alaska,None,None,None,None,Alaskan,None,4,4,1,1,1,Alaskan Independence Party,None,0,None
MEN,Mendoza,150609,0,8,2222235.498,2.23221E+11,Argentina,Mendoza Republic,None,None,None,None,Argentine,None,4,4,1,0,1,Mendoexit,None,0,None
SUL,Sul,605520,0,6,4416417.807,7.7751E+11,Brazil,Sul,None,None,None,None,Sul-rio-grandense,None,4,4,1,0,1,The South Is My Country,None,0,None
SAO,Sao Paulo,265746,0,6,2957873.528,3.12825E+11,Brazil,Sao Paulo,None,None,None,None,Paulistano,None,4,4,1,0,1,Free Sao Paulo,None,0,None
SAP,San Andres and Providencia,18796,0,8,1291612.95,19907218957,Colombia,San Andres y Providencia,None,None,None,None,Raizals,None,4,4,1,0,1,AMEN-SD,None,0,None
GUF,French Guiana,89383,0,6,1296857.81,90463957229,France,Republic of Amazonia,None,None,None,None,French Guianan,None,2,4,1,0,1,Ballot Proposition,None,1,None
CUW,Curacao,5380,0,7,303069.2107,5664851483,Netherlands,Curacao,None,None,None,None, Curaçaoan,ABC Islands,2,4,1,0,1,Movement for the Future of Curacao,None,1,None
ZUL,Zulia,49229,0,7,1675616.996,51082065130,Venezuela,Zulia,None,None,None,None,Venezuelan,None,4,4,1,0,1,Ballot Proposition,None,0,None
TMR,Southeastern Azerbaijan,9854,0,4,749252.2555,16327440432,Azerbaijan,Talysh-Mughan Autonomous Republic,None,None,None,None,Talysh,Azerbaijan,4,4,1,0,1,Talysh National Movement,None,0,None
RSK,Republika Srpska,24749,0,8,2504833.307,48244325751,Bosnia and Herzegovina,Republika Srpska,None,None,None,None,Serbian,None,4,4,1,0,1,National Assembly of the Serbian Republic,None,0,None
MRV,Moravia,22114,0,3,1293348.606,52038857438,Czechia,Moravia,None,None,None,None,Moravian,None,4,4,1,0,0,Seeking Autonomy,None,0,None
ALA,Aland,13448,0,7,937373.4481,54112398660,Finland,Aland,None,None,None,None,Alandic,None,4,4,1,0,1,Political Party,None,0,None
ALC,Alsace,8478,0,6,917336.4755,19175466659,France,Alsace,None,None,None,None,Alsatian,France,2,4,1,0,1,Political Parties,None,1,None
FRB,French Basque Country,4783,0,6,500118.603,9037160912,France,Basque Country,None,None,None,None,Basque,Basque Country,4,4,1,0,1,Eusko Alkatasuna,None,0,None
SBC,Spanish Basque Country,10525,0,7,777493.9035,19789733628,Spain,Basque Country,Castille,None,None,None,Basque,Basque Country,4,4,1,0,1,Eusko Alkatasuna,None,0,None
BRT,Brittany,48541,0,6,1428068.954,1.09265E+11,France,Brittany,None,None,None,None,Breton,None,4,4,1,0,1,UNPO Member,None,0,None
FRC,Corsica,20327,0,6,780409.6159,37053183022,France,Corsica,None,None,None,None,Corsican,France,2,4,1,0,1,Political Parties,None,1,None
NCT,Northern Catalonia,5213,0,6,550954.1656,9628537192,France,Occitania,Catalonia,None,None,None,Catalonian,None,4,4,1,0,1,UNPO Member,None,0,None
CAT,Catalonia,40580,0,7,1323443.162,72825078384,Spain,None,Catalonia,None,None,None,Catalonian,None,2,4,1,0,1,UNPO Member,None,1,None
FOC,Occitania,168985,0,6,3050563.46,3.32127E+11,France,Occitania,None,None,None,None,Occitanian,Occitania,4,4,1,0,1,Bastir!,None,0,None
ITO,Italian Occitania,4418,0,4,511965.0134,8718347974,Italy,Occitania,North Italy,None,None,None,Occitan,Occitania,4,4,1,0,1,Bastir!,None,0,None
FRV,Provence,40547,0,6,1602293.597,77859858692,France,Provence,Occitania,None,None,None,Provençal,None,4,4,1,0,0,None,None,0,None
FRA,France,273670,1,6,4958756.783,6.05822E+11,France,None,None,None,None,None,French,None,1,1,1,0,0,None,None,0,None
FRS,Savoy,11098,0,6,809831.9933,22774928991,France,None,None,None,None,None,Savoyard,None,4,4,1,0,0,Seeking Autonomy,None,0,None
FRN,Normandy,39703,0,6,1481898.998,93023882098,France,None,None,None,None,None,Norman,None,4,4,1,0,0,Seeking Autonomy,None,0,None
IMN,Isle of Man,4519,0,5,425661.6631,13178610457,United Kingdom,Isle of Man,None,None,None,None,Manx,None,4,4,1,0,1,Mec Vannin,None,0,None
BVA,Bavaria,70711,0,8,2852279.63,1.63868E+11,Germany,Free State of Bavaria,None,None,None,None,Bavarian,None,4,4,1,0,1,Bavaria Party,None,0,None
EFS,East Frisia,6115,0,8,622287.6945,17314898753,Germany,None,None,None,None,None,East Frisian,None,4,4,1,0,0,Seeking Autonomy,None,0,None
LUS,Lusatia,7487,0,8,805594.7145,19233241479,Germany,None,None,None,None,None,Lusatian,None,4,4,1,0,0,Seeking Autonomy,None,0,None
NFS,North Frisia,5855,0,8,581710.9136,17449860935,Germany,None,Schleswig-Holstein,None,None,None,North Frisian,None,4,4,1,0,0,Seeking Autonomy,None,0,None
SWH,Schleswig-Holstein,3842,0,8,543465.5854,11407793417,Germany,None,None,None,None,None,Sylters,None,4,4,1,0,0,Seeking Autonomy,None,0,None
AOV,Aosta Valley,3268,0,4,414729.4547,6706076576,Italy,Aosta Valley,North Italy,None,None,None,Aostan,None,2,4,1,0,1,Valdostan Union,None,1,None
FVG,Friuli-Venezia Giulia,8126,0,4,677148.6491,16921156971,Italy,Friuli,North Italy,None,None,None,Friuli Venezia Giulian,None,2,4,1,0,1,Political Parties,None,1,None
ITT,Trieste,367,0,4,112736.439,751643862.2,Italy,None,North Italy,None,None,None,Triestino,None,2,4,1,0,0,None,None,1,None
ITN,North Italy,32018,0,4,1655446.11,63632204983,Italy,North Italy,None,None,None,None,North Italian,None,2,4,1,0,0,None,None,1,None
ITL,Lombardy,23543,0,4,1520221.274,48123142358,Italy,Lombardi,North Italy,None,None,None,Lombard,None,1,1,1,0,0,None,None,0,None
ITV,Veneto,21973,0,4,1223808.76,44852856615,Italy,Veneto,North Italy,None,None,None,Venetian,None,4,4,1,0,0,None,None,0,None
STR,South Tyrol,7331,0,4,814586.3248,15578907330,Italy,South Tyrol,North Italy,None,None,None,South Tyrolean,Trentino-Alto Adige,2,4,1,0,1,Political Parties,None,1,North Italy
SRD,Sardinia,46897,0,4,1162036.935,80188210051,Italy,Sardinia,None,None,None,None,Sardinian,None,2,4,1,0,1,Sardinian Action Party,None,1,None
SCY,Sicily,64016,0,4,2329929.223,1.02079E+11,Italy,Sicily,None,None,None,None,Sicillian,None,2,4,1,0,1,Free Sicilians,None,1,None
